ibge_code,city,latitude,longitude
3546801,Santa Isabel,-23.317,-46.224
1506187,Rondon do Pará,-4.778,-48.067
2302206,Beberibe,-4.177,-38.127
3537800,Piedade,-23.714,-47.426
1507607,São Miguel do Guamá,-1.613,-47.478
1508407,Xinguara,-7.098,-49.944
3118007,Congonhas,-20.496,-43.851
3161106,São Francisco,-15.951,-44.859
4216206,São Francisco do Sul,-26.258,-48.634
3540705,Porto Ferreira,-21.85,-47.487
4207304,Imbituba,-28.228,-48.666
1716109,Paraíso do Tocantins,-10.175,-48.882
3111200,Campo Belo,-20.893,-45.27
2928802,Santo Estêvão,-12.428,-39.25
3553708,Taquaritinga,-21.405,-48.51
1505106,Óbidos,-1.901,-55.521
3549706,São José do Rio Pardo,-21.595,-46.887
5210000,Inhumas,-16.361,-49.5
2602803,Buíque,-8.62,-37.161
4314050,Parobé,-29.624,-50.831
5106752,Pontes e Lacerda,-15.222,-59.344
2905206,Caetité,-14.068,-42.486
2708600,São Miguel dos Campos,-9.783,-36.097
3527306,Louveira,-23.086,-46.948
1303809,São Gabriel da Cachoeira,-0.119,-67.084
3107406,Bom Despacho,-19.739,-45.262
3301850,Guapimirim,-22.535,-42.99
1501204,Baião,-2.79,-49.669
4219507,Xanxerê,-26.875,-52.404
4109807,Ibiporã,-23.266,-51.052
4218004,Tijucas,-27.235,-48.632
3503802,Artur Nogueira,-22.573,-47.173
2112803,Viana,-3.205,-44.991
3137205,Lagoa da Prata,-20.024,-45.54
5213806,Morrinhos,-17.733,-49.106
2702405,Delmiro Gouveia,-9.385,-37.999
2515302,Sapé,-7.094,-35.228
3554805,Tremembé,-22.957,-45.548
3138401,Leopoldina,-21.53,-42.642
2902708,Barra,-11.086,-43.146
2302503,Brejo Santo,-7.485,-38.98
3128709,Guaxupé,-21.305,-46.708
2807402,Tobias Barreto,-11.18,-38
1503903,Juruti,-2.163,-56.089
1508209,Vigia,-0.861,-48.139
1100114,Jaru,-10.432,-62.479
5005707,Naviraí,-23.062,-54.2
3556453,Vargem Grande Paulista,-23.599,-47.022
2702306,Coruripe,-10.128,-36.172
2302404,Boa Viagem,-5.113,-39.734
3510401,Capivari,-22.995,-47.507
3528403,Mairinque,-23.54,-47.185
